N,k,avgTime
100,1,682
100,5,2199
100,10,3230
100,20,3989
100,50,5042
100,100,3381
500,1,1294
500,5,5309
500,10,8618
500,20,12997
500,50,17973
500,100,22778
1000,1,1736
1000,5,7609
1000,10,13393
1000,20,21053
1000,50,30089
1000,100,38785
5000,1,3217
5000,5,18200
5000,10,33249
5000,20,54417
5000,50,88531
5000,100,116881
10000,1,3845
10000,5,26074
10000,10,49168
10000,20,78107
10000,50,135814
10000,100,190921
100000,1,9873
100000,5,83630
100000,10,168780
100000,20,281028
100000,50,490341
100000,100,724239
