N,k,avgTime
100,1,435
100,5,941
100,10,1367
100,20,2009
100,50,2862
100,100,2803
500,1,1528
500,5,2307
500,10,3027
500,20,4357
500,50,7089
500,100,10453
1000,1,2499
1000,5,3465
1000,10,4421
1000,20,5840
1000,50,9735
1000,100,15063
5000,1,8930
5000,5,10154
5000,10,11549
5000,20,13638
5000,50,20296
5000,100,29751
10000,1,15858
10000,5,16950
10000,10,18529
10000,20,21104
10000,50,28588
10000,100,40129
100000,1,98141
100000,5,98580
100000,10,100301
100000,20,103890
100000,50,114655
100000,100,132112
